symbol,model_features,train_size,feature_size,train_score,test_score,oot_score,is_oot_stable,unstable_oot_features
BLD,Cumulative_Returns | Close | Square_Root_Close | Moving_Average_3 | Log_Close | Moving_Average_5 | EMA | Upper_Band | Short_EMA | Rolling_Mean | Moving_Average_10 | Moving_Average_15 | Close_Inverse | Long_EMA | Lower_Band | Expanding_Mean,199,16,0.5097984937637866,6.780838645651219,9.043732262723054,True,[]
PSX,Close | Cumulative_Returns | Square_Root_Close | Log_Close | Close_Squared | Moving_Average_3 | Moving_Average_5 | EMA | Close_Inverse | Short_EMA | Rolling_Mean | Moving_Average_10 | Upper_Band | Moving_Average_15 | Long_EMA | Lower_Band | Expanding_Mean,199,17,0.196187467233671,1.3035690488132168,8.5696400252688,True,[]
GPN,Cumulative_Returns | Close | Square_Root_Close | Log_Close | Close_Inverse | Moving_Average_3 | Moving_Average_5 | EMA | Short_EMA | Rolling_Mean | Moving_Average_10 | Upper_Band | Moving_Average_15 | Lower_Band | Long_EMA | Expanding_Mean,199,16,0.3175618437889724,1.4114399621670293,3.631126240672792,True,[]
HUBB,Close | Cumulative_Returns | Square_Root_Close | Log_Close | Moving_Average_3 | Moving_Average_5 | Close_Inverse | EMA | Short_EMA | Rolling_Mean | Moving_Average_10 | Upper_Band | Moving_Average_15 | Lower_Band | Long_EMA | Expanding_Mean,199,16,0.6848053196125712,5.673439637119164,26.217227377864337,True,[]
PPG,Close | Cumulative_Returns | Square_Root_Close | Log_Close | Close_Squared | Close_Cubed | Close_Inverse | Moving_Average_3 | Moving_Average_5 | EMA | Short_EMA | Rolling_Mean | Moving_Average_10 | Upper_Band | Lower_Band | Moving_Average_15 | Long_EMA | Expanding_Mean,199,18,0.5080562424573816,1.254999155616223,2.145903003706463,True,[]
TECH,Cumulative_Returns | Close | Square_Root_Close | Log_Close | Close_Inverse | Moving_Average_3 | Moving_Average_5 | EMA | Short_EMA | Rolling_Mean | Moving_Average_10 | Upper_Band | Lower_Band | Moving_Average_15 | Long_EMA | Expanding_Mean,199,16,0.1127905323334249,1.0090827425771214,2.164312448001328,True,[]
IRM,Close | Cumulative_Returns | Square_Root_Close | Log_Close | Close_Squared | Moving_Average_3 | Moving_Average_5 | Close_Inverse | EMA | Upper_Band | Short_EMA | Rolling_Mean | Moving_Average_10 | Long_EMA | Moving_Average_15 | Lower_Band | Expanding_Mean,199,17,0.0912360367213979,0.5119115854137862,0.3283449355196992,True,[]
IQV,Close | Cumulative_Returns | Square_Root_Close | Log_Close | Close_Inverse | Moving_Average_3 | Moving_Average_5 | EMA | Short_EMA | Rolling_Mean | Moving_Average_10 | Upper_Band | Lower_Band | Moving_Average_15 | Long_EMA | Expanding_Mean,199,16,0.3921271174289024,0.5231885620352213,12.10310473006762,True,[]
LNG,Close | Cumulative_Returns | Square_Root_Close | Log_Close | Close_Squared | Close_Inverse | Moving_Average_3 | Moving_Average_5 | EMA | Short_EMA | Rolling_Mean | Moving_Average_10 | Upper_Band | Moving_Average_15 | Lower_Band | Long_EMA | Expanding_Mean,199,17,0.1816719619539472,1.1332637016637122,8.16432419403139,True,[]
ESS,Close | Cumulative_Returns | Square_Root_Close | Close_Squared | Log_Close | Close_Inverse | Moving_Average_3 | Moving_Average_5 | EMA | Short_EMA | Rolling_Mean | Moving_Average_10 | Upper_Band | Lower_Band | Moving_Average_15 | Long_EMA | Expanding_Mean,199,17,0.1753537742072871,1.87695655487808,3.1347810346990914,True,[]
